token_address,decimals
0xaEB29C7b70cEaB600013680850C6533b577108e7,18
0x6460B9954A05714A1A8d36Bac6D8BC9B657352d7,18
0x876745CdBc0F3A1857b413C2837a2e75b927b976,18
0x801836808fAc9Eac964560a940267e0f50eACdF6,18
0xD83970F005973512049F9d8ABfE5Ab610FC92cC0,18
0x05feeb1aE108F1e0a267d5BB8aBdc4D17D2FbBfB,9
0x5e91954fa60C8722B1DcFbC17a3402A27a832A74,18
0x5777e5Bd09107D854895E6B0b0F5f70ec77374F5,18
0xA56Ed2632E443Db5f93e73C89df399a081408Cc4,18
0xf9026371E12f9Ab81E8c7730D4ABFEB234F95932,18
0x09FeE02FD3094cf76e40D4B89d8914c9d80D37fb,18
0x2b15D5857f4B1e247AE0335a7F3C1Ec9148cFd1d,18
0xededcA25207130C28c7FF4A6330F1D3C7d5DFA2C,18
0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,18
0x1Bff5c7056827777B5D33F0C274fc9ECCd013Dd4,18
0x923b83c26B3809d960fF80332Ed00aA46D7Ed375,18
0xa185d5Da8b2900bC36780AD713ed497309657A81,18
0x901633Acd1024bB7E6CF76ad7feD050f30154FFF,18
0x7671e6eaBe4C3AA0DF44fE915a62710C73f82d9a,18
0x9f2839369fa9590FED305ec307D548E46D7822EE,18
0xF85aB50c9653C5f18D108f58AdA869E62a7b8Bc9,18
0x3a06624845c3f11b2C04265Dede07b88cC0b197B,6
0xC57cbd00748a054e8CD9b2Ffb46C1e2AB5617456,9
0x4c5B8e47dAD18b679d00d7BE070C2b5F7A0141c3,18
0x81D187924d10a9D51191417EB634cB9530CcB464,18
0x6a1973044C0c83923D728E834Af5615A3bC02970,18
0x3ea6bAe5C10FF3F99925bDf29fd3F8bCae5aaA66,18
0x2049a5A868492a5bd50935F8a17DED9e80ddfF4F,18
0x99e0678421CB19A6990Ad277aCb21bbdF340b914,9
0x7973765A7498EEF6A205371E185760b2E3e58026,9
0xC90798aFc96b036c9D2CFFcAB42C4856D157cD31,18
0x6035355ec1F6dF2438b91a55B20daa007Dd4117A,9
0x784024c6C9a6c863d27f31b7F83F680AeEd405Af,18
0x265243BdB322b9A3F3e32AB5b6C50E88dA6E6936,18
0xdb01049AAEA5b9F2faf062F07064bfC64a1e0289,18
0xf1127155DEfE7353aCF8E5077E83ce5811805a23,18
